cfg,run,step,processed,true_distinct,estimate
almost_all_unique,12,18,190000,180441,181951
almost_all_unique,12,19,200000,189832,190475
almost_all_unique,13,0,10000,9721,9437.39
almost_all_unique,13,1,20000,19377,19086.5
almost_all_unique,13,2,30000,28952,28711.5
almost_all_unique,13,3,40000,38557,38079.6
almost_all_unique,13,4,50000,48141,47525.1
almost_all_unique,13,5,60000,57714,57315.8
almost_all_unique,13,6,70000,67261,68412
almost_all_unique,13,7,80000,76814,77797.3
almost_all_unique,13,8,90000,86333,87068.3
almost_all_unique,13,9,100000,95792,95980.8
almost_all_unique,13,10,110000,105304,106169
almost_all_unique,13,11,120000,114751,114970
almost_all_unique,13,12,130000,124216,126130
almost_all_unique,13,13,140000,133633,134724
almost_all_unique,13,14,150000,143066,144274
almost_all_unique,13,15,160000,152460,154326
almost_all_unique,13,16,170000,161921,164955
almost_all_unique,13,17,180000,171373,174282
almost_all_unique,13,18,190000,180799,183816
almost_all_unique,13,19,200000,190180,194999
almost_all_unique,14,0,10000,9733,9695.74
almost_all_unique,14,1,20000,19356,19436.2
almost_all_unique,14,2,30000,28983,28958.2
almost_all_unique,14,3,40000,38602,37890.6
almost_all_unique,14,4,50000,48143,47499.2
almost_all_unique,14,5,60000,57689,57551.5
almost_all_unique,14,6,70000,67191,66974.1
almost_all_unique,14,7,80000,76705,76428.5
almost_all_unique,14,8,90000,86219,85512.7
almost_all_unique,14,9,100000,95705,94361.7
almost_all_unique,14,10,110000,105186,104306
almost_all_unique,14,11,120000,114638,113175
almost_all_unique,14,12,130000,124120,122118
almost_all_unique,14,13,140000,133586,131071
almost_all_unique,14,14,150000,143016,140279
almost_all_unique,14,15,160000,152423,150232
almost_all_unique,14,16,170000,161809,159709
almost_all_unique,14,17,180000,171180,169288
almost_all_unique,14,18,190000,180601,179140
almost_all_unique,14,19,200000,190013,187338
almost_all_unique,15,0,10000,9708,10017.4
almost_all_unique,15,1,20000,19379,19317.5
almost_all_unique,15,2,30000,28985,28983.2
almost_all_unique,15,3,40000,38543,38641.9
almost_all_unique,15,4,50000,48075,47853.9
almost_all_unique,15,5,60000,57622,57748.8
almost_all_unique,15,6,70000,67176,67142.9
almost_all_unique,15,7,80000,76644,76107.5
almost_all_unique,15,8,90000,86129,86556.8
almost_all_unique,15,9,100000,95607,95188.9
almost_all_unique,15,10,110000,105108,103846
almost_all_unique,15,11,120000,114571,113540
almost_all_unique,15,12,130000,124056,123375
almost_all_unique,15,13,140000,133476,135073
almost_all_unique,15,14,150000,142905,144956
almost_all_unique,15,15,160000,152319,154834
almost_all_unique,15,16,170000,161724,163588
almost_all_unique,15,17,180000,171139,173283
almost_all_unique,15,18,190000,180529,181598
almost_all_unique,15,19,200000,189898,191371
almost_all_unique,16,0,10000,9724,9611.28
almost_all_unique,16,1,20000,19335,18953.5
almost_all_unique,16,2,30000,28926,28465.6
almost_all_unique,16,3,40000,38502,38831.4
almost_all_unique,16,4,50000,48062,48049.2
almost_all_unique,16,5,60000,57594,57422.3
almost_all_unique,16,6,70000,67105,66704
almost_all_unique,16,7,80000,76597,77253.1
almost_all_unique,16,8,90000,86098,86668.2
almost_all_unique,16,9,100000,95572,96582.8
almost_all_unique,16,10,110000,105038,105599
almost_all_unique,16,11,120000,114496,115063
almost_all_unique,16,12,130000,123956,125182
almost_all_unique,16,13,140000,133386,134052
almost_all_unique,16,14,150000,142756,142986
almost_all_unique,16,15,160000,152193,151892
almost_all_unique,16,16,170000,161617,161805
almost_all_unique,16,17,180000,171008,171056
almost_all_unique,16,18,190000,180415,180889
almost_all_unique,16,19,200000,189807,188996
almost_all_unique,17,0,10000,9704,9881.21
almost_all_unique,17,1,20000,19313,19272
almost_all_unique,17,2,30000,28888,28643.2
almost_all_unique,17,3,40000,38456,38135.7
almost_all_unique,17,4,50000,48038,46836.3
almost_all_unique,17,5,60000,57565,56388.7
almost_all_unique,17,6,70000,67080,65516.8
almost_all_unique,17,7,80000,76570,75034.6
almost_all_unique,17,8,90000,86080,86083.7
almost_all_unique,17,9,100000,95581,96050.1
almost_all_unique,17,10,110000,105069,106539
almost_all_unique,17,11,120000,114489,116325
almost_all_unique,17,12,130000,123914,124223
almost_all_unique,17,13,140000,133343,133667
almost_all_unique,17,14,150000,142804,142920
almost_all_unique,17,15,160000,152206,152264
almost_all_unique,17,16,170000,161595,162334
almost_all_unique,17,17,180000,170968,169716
almost_all_unique,17,18,190000,180399,179472
almost_all_unique,17,19,200000,189789,189910
almost_all_unique,18,0,10000,9698,9738.63
almost_all_unique,18,1,20000,19338,19331.2
almost_all_unique,18,2,30000,28913,28899.7
almost_all_unique,18,3,40000,38484,38295.8
almost_all_unique,18,4,50000,48033,47379.1
almost_all_unique,18,5,60000,57569,57122.1
almost_all_unique,18,6,70000,67084,66847
almost_all_unique,18,7,80000,76618,76136
almost_all_unique,18,8,90000,86155,84940.7
almost_all_unique,18,9,100000,95632,94380.2
almost_all_unique,18,10,110000,105125,103263
almost_all_unique,18,11,120000,114586,112309
almost_all_unique,18,12,130000,124016,122823
almost_all_unique,18,13,140000,133436,131402
almost_all_unique,18,14,150000,142884,142384
almost_all_unique,18,15,160000,152315,152499
almost_all_unique,18,16,170000,161747,162019
almost_all_unique,18,17,180000,171157,172441
almost_all_unique,18,18,190000,180542,181322
almost_all_unique,18,19,200000,189911,190690
almost_all_unique,19,0,10000,9725,9847.86
almost_all_unique,19,1,20000,19362,19407.4
almost_all_unique,19,2,30000,28990,28510
almost_all_unique,19,3,40000,38588,38187.5
almost_all_unique,19,4,50000,48131,48592.8
almost_all_unique,19,5,60000,57724,57858.2
almost_all_unique,19,6,70000,67227,67116.1
almost_all_unique,19,7,80000,76749,76940.2
almost_all_unique,19,8,90000,86266,86473.2
almost_all_unique,19,9,100000,95705,96758.6
almost_all_unique,19,10,110000,105174,106649
almost_all_unique,19,11,120000,114621,115549
almost_all_unique,19,12,130000,124048,125227
almost_all_unique,19,13,140000,133500,133635
almost_all_unique,19,14,150000,142934,142978
almost_all_unique,19,15,160000,152394,152813
almost_all_unique,19,16,170000,161819,161065
almost_all_unique,19,17,180000,171208,171374
